obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
122,Maldives,Maldives,MDV,South Asia,25.87218175,17284.60989,4.366549969,5.666999817,12,0.4206715,-0.4793896,Maintain,0,18.17030104,8.6903019,NA,1,NA,NA,0,0
123,Mali,Mali,MLI,Sub-Saharan Africa,2.063359738,2139.735561,3.801500082,7.729000092,8.5,-1.685664,-0.6828474,Maintain,0,16.37155075,4.11143351,5,2,85.2,15913,0,0
125,Marshall Islands,Marshall Islands,MHL,East Asia & Pacific,6.197044893,3620.134513,NA,NA,17,0.9194738,-0.1151361,NA,0,54.36859018,17.35825539,NA,NA,NA,NA,0,NA
126,Mauritania,Mauritania,MRT,Sub-Saharan Africa,3.396676733,5127.436084,NA,9.758000374,8,-0.6378012,-0.9233136,Maintain,0,14.61777659,4.70125389,-2,1,71.3,77390,0,0.554027482
127,Mauritius,Mauritius,MUS,Sub-Saharan Africa,2.24510922,19897.4754,4.886670113,7.409999847,6.5,0.9986154,0.2940295,Maintain,0,14.93340945,5.6999588,10,3,46.6,NA,0,0
128,Mexico,Mexico,MEX,Latin America & Caribbean,0.939364727,19361.47029,5.235239983,4.313000202,8.4,-0.7986991,-0.7659356,Maintain,0,12.3171959,5.79708719,8,2,58.7,2904,0,1.597485845
129,"Micronesia, Fed. Sts.",Micronesia,FSM,East Asia & Pacific,2.638330461,3450.701332,12.40791988,NA,16,1.035154,0.6804457,Maintain,0,NA,12.49603271,NA,NA,NA,5,0,0
130,Moldova,Moldova,MDA,Europe & Central Asia,3.512106598,10360.82959,NA,3.694000006,6,-0.3274402,-0.9112523,Maintain,0,14.50485745,8.55763531,9,2,42.7,434,0,0.013614209
131,Monaco,Monaco,MCO,Europe & Central Asia,55.76846625,NA,NA,NA,NA,0.9918019,NA,NA,0,NA,2.02833343,NA,NA,NA,32,NA,NA
132,Mongolia,Mongolia,MNG,East Asia & Pacific,0.595444478,11022.95648,4.176990032,4.861000061,12,0.7163844,-0.4916258,Maintain,0,13.52944073,4.23834133,10,2,31.5,11,0,1.709894143
133,Montenegro,Montenegro,MNE,Europe & Central Asia,13.19007768,18212.37383,NA,17.54400063,12,0.1407977,-0.1318108,Maintain,0,19.19588717,NA,9,2,NA,1762,0,0
135,Mozambique,Mozambique,MOZ,Sub-Saharan Africa,0.796801385,1262.613081,NA,3.426000118,21,-0.5138951,-0.7488589,Maintain,0,25.92734012,7.23973656,5,1,NA,5624,0,0.053918538
136,Myanmar,Myanmar,MMR,East Asia & Pacific,0.136014603,4268.500515,NA,0.765999973,16,-1.165067,-0.8361852,Maintain,0,19.81981714,5.4778142,NA,1,59,NA,0,0.206004679
